ISO_A3,year,AGE,COPDmortality,IHDmortality,LCmortality,LRImortality,Strokemortality,Diabetesmortality
AFG,2015,0-4,0.00266270439651302,0,0,0.451773427825165,0.0036096765131881,0
AGO,2015,0-4,0.00714891878491234,0,0,0.778038053989584,0.0107129447691057,0
ALB,2015,0-4,0.00213561582201511,0,0,0.0994716578042444,0.0161344792577694,0
ARE,2015,0-4,0.001893187700745,0,0,0.0103962009143373,0.00449147062133677,0
ARG,2015,0-4,0.00194096098189944,0,0,0.0395120509658171,0.00339352530863096,0
ARM,2015,0-4,3.6657413918691e-4,0,0,0.0988037924834122,2.5033131423983e-4,0
AUS,2015,0-4,3.1523328637301e-4,0,0,0.00789810495765685,3.8260020789577e-4,0
AUT,2015,0-4,7.450773478897e-4,0,0,0.00342925374764751,6.7667754197666e-4,0
AZE,2015,0-4,0.00202006236387831,0,0,0.538435655182758,2.7233693751062e-4,0
BDI,2015,0-4,0.00854841693445903,0,0,0.995985447043961,0.00911580122213632,0
BEL,2015,0-4,4.3852500594765e-4,0,0,0.00848231251765091,0.00129501731846432,0
BEN,2015,0-4,0.00228764768635088,0,0,1.16770690431574,0.0220064636870634,0
BFA,2015,0-4,0.00403762770130453,0,0,1.57886113988976,0.0256573224152633,0
BGD,2015,0-4,0.00264077423519139,0,0,0.368486322909761,0.00467100575485512,0
BGR,2015,0-4,3.9676302840006e-4,0,0,0.0430067862296504,0.00262446866857894,0
BHR,2015,0-4,4.9482630611011e-4,0,0,0.0159735718347079,0.00485226143973474,0
BHS,2015,0-4,9.4634142328492e-4,0,0,0.0767121546509953,0.00175130589696339,0
BIH,2015,0-4,7.9750065041789e-4,0,0,0.0106345930612145,0.00382083922890998,0
BLR,2015,0-4,1.8083480473896e-4,0,0,0.0167689595601916,1.524832751133e-4,0
BLZ,2015,0-4,0.00304789283217108,0,0,0.110643682121602,0.00226686520604723,0
BOL,2015,0-4,0.00840806645955898,0,0,0.359026502564896,0.00819310703417303,0
BRA,2015,0-4,0.00165496264898254,0,0,0.0950661615523537,0.00326379683655047,0
BRB,2015,0-4,2.8692206948692e-4,0,0,0.0406509457779656,0.00109638373325557,0
BRN,2015,0-4,4.248121129003e-4,0,0,0.0418724002711526,8.3973697127148e-4,0
BTN,2015,0-4,0.00582840248955058,0,0,0.204810372904826,0.00327326290230606,0
BWA,2015,0-4,0.00163584712742451,0,0,0.212791762242367,0.00269246455491094,0
CAF,2015,0-4,0.00848681879676512,0,0,1.34778808719291,0.0206602913468948,0
CAN,2015,0-4,2.5018104540919e-4,0,0,0.00813921187513358,9.8748076963893e-4,0
CHE,2015,0-4,1.4233822535582e-4,0,0,0.00566907401969988,1.4298800131289e-4,0
CHL,2015,0-4,0.0027623758865386,0,0,0.0134704771068149,7.4834606080437e-4,0
CHN,2015,0-4,6.01647570208e-4,0,0,0.0598632627225407,0.00315476391147579,0
CIV,2015,0-4,0.00207509584465851,0,0,1.10177872804278,0.0264199764689028,0
CMR,2015,0-4,0.00171459814065544,0,0,0.858383770862575,0.016891835255112,0
COD,2015,0-4,0.00936365819267681,0,0,1.10421435239453,0.0165856231385342,0
COG,2015,0-4,0.0054146624998534,0,0,0.500456959718056,0.00834621607611458,0
COL,2015,0-4,0.00234922882451872,0,0,0.0869686323794611,0.00532808834488336,0
COM,2015,0-4,0.00355053998866559,0,0,0.423172441821215,0.00266576603393787,0
CPV,2015,0-4,2.4481453159758e-4,0,0,0.117228394239686,0.00406441492721266,0
CRI,2015,0-4,0.0019383388661834,0,0,0.0224623435050384,6.547549619704e-4,0
CUB,2015,0-4,7.6233741516816e-4,0,0,0.0392072293087354,5.5576226259681e-4,0
CYP,2015,0-4,1.1608723772962e-4,0,0,0.00274600369934043,9.9445617060722e-4,0
CZE,2015,0-4,4.8615054482159e-4,0,0,0.00971395305357426,2.9626658982234e-4,0
DEU,2015,0-4,5.720134331707e-4,0,0,0.00767000665550219,6.1504224625622e-4,0
DJI,2015,0-4,0.00367465486772396,0,0,0.648914296769118,0.00348528410480834,0
DMA,2015,0-4,0.00187845603466128,0,0,0.139096527596766,0.00310250637385883,0
DNK,2015,0-4,5.9776394434894e-4,0,0,0.00485529074025574,1.3623126107709e-4,0
DZA,2015,0-4,0.00349212348025547,0,0,0.0680654522645333,0.00910536645001572,0
ECU,2015,0-4,0.00274233598988575,0,0,0.241209279447439,0.00452875361950623,0
EGY,2015,0-4,0.0113337839158996,0,0,0.31241635943075,0.0108432267564658,0
ERI,2015,0-4,0.00515373143063502,0,0,0.830507107106301,0.00494665287115288,0
ESP,2015,0-4,3.0099865709183e-4,0,0,0.0052997541351117,0.00136490975641284,0
EST,2015,0-4,3.9561406949262e-4,0,0,0.0211039575259855,1.2890346051912e-4,0
ETH,2015,0-4,0.00413077730385498,0,0,0.765959383978253,0.00540481192946249,0
FIN,2015,0-4,2.0331453955251e-4,0,0,0.00142983359018083,3.9036219962261e-4,0
FJI,2015,0-4,0.00265538823971615,0,0,0.282114742480815,0.0212413191529044,0
FRA,2015,0-4,2.1693194506281e-4,0,0,0.00594952151024423,0.00158884165623328,0
